Center	Date	Year	Month	Week	Day	Weekday	Volume
Atlantic	1/1/2014	2014	January	1	1	Wednesday	120933
Atlantic	1/2/2014	2014	January	1	2	Thursday	52979
Atlantic	1/3/2014	2014	January	1	3	Friday	45683
Atlantic	1/4/2014	2014	January	1	4	Saturday	53152
Atlantic	1/5/2014	2014	January	1	5	Sunday	149776
Atlantic	1/6/2014	2014	January	1	6	Monday	108772
Atlantic	1/7/2014	2014	January	1	7	Tuesday	99919
Atlantic	1/8/2014	2014	January	2	8	Wednesday	138271
Atlantic	1/9/2014	2014	January	2	9	Thursday	77451
Atlantic	1/10/2014	2014	January	2	10	Friday	130536
Atlantic	1/11/2014	2014	January	2	11	Saturday	119809
Atlantic	1/12/2014	2014	January	2	12	Sunday	64125
Atlantic	1/13/2014	2014	January	2	13	Monday	146927
Atlantic	1/14/2014	2014	January	2	14	Tuesday	62505
Atlantic	1/15/2014	2014	January	3	15	Wednesday	56662
Atlantic	1/16/2014	2014	January	3	16	Thursday	119081
Atlantic	1/17/2014	2014	January	3	17	Friday	116136
Atlantic	1/18/2014	2014	January	3	18	Saturday	158629
Atlantic	1/19/2014	2014	January	3	19	Sunday	46917
Atlantic	1/20/2014	2014	January	3	20	Monday	86771
Atlantic	1/21/2014	2014	January	3	21	Tuesday	129079
Atlantic	1/22/2014	2014	January	4	22	Wednesday	82806
Atlantic	1/23/2014	2014	January	4	23	Thursday	49040
Atlantic	1/24/2014	2014	January	4	24	Friday	133663
Atlantic	1/25/2014	2014	January	4	25	Saturday	66235
Atlantic	1/26/2014	2014	January	4	26	Sunday	113949
Atlantic	1/27/2014	2014	January	4	27	Monday	110649
Atlantic	1/28/2014	2014	January	4	28	Tuesday	134829
Atlantic	1/29/2014	2014	January	5	29	Wednesday	59753
Atlantic	1/30/2014	2014	January	5	30	Thursday	108356
Atlantic	1/31/2014	2014	January	5	31	Friday	133185
Atlantic	2/1/2014	2014	February	1	1	Saturday	29977
